method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean
sequential,ov,0.1,0.3,0.12666666666666668,0,rrg,45,0.670519,0.13600573,0.10700181,1,0.09760601,0.07866675,0,0.64028037,1.3563715,1.2201053
sequential,ov,0.1,0.3,0.13,0,rrg,27,0.38947606,0.117214724,0.07259265,2,0.066681474,0.047096476,1,1.192396,1.4069641,0.22524847
sequential,ov,0.1,0.3,0.13333333333333333,0,rrg,19,0.099983715,0.12525514,0.08485876,35,0.099983715,3.4680564e-08,0,0.3334381,1.4658488,1.5648661
sequential,ov,0.1,0.3,0.13666666666666666,0,rrg,230,0.09998373,0.11757433,0.07233048,16,0.1839825,0.08932388,1,2.4146152,1.336604,1.5842022
sequential,ov,0.1,0.3,0.14,0,rrg,214,0.09998371,0.14526083,0.1427991,43,0.124082826,0.022716306,0,1.8584993,1.5612302,0.7129264
sequential,ov,0.1,0.3,0.14333333333333334,0,rrg,18,0.49269667,0.12722506,0.12960857,2,0.033372875,0.04710099,1,0.69957435,1.3388634,0.7853145
sequential,ov,0.1,0.3,0.14666666666666667,0,rrg,257,0.09998372,0.1106997,0.06463332,19,0.07331569,0.03771423,0,1.3892759,1.4513239,0.40822908
sequential,ov,0.1,0.3,0.15,0,rrg,90,0.099983625,0.119676836,0.0885933,52,0.11912247,0.027066326,0,0.33343792,1.3450046,1.3626813
sequential,ov,0.1,0.3,0.15333333333333332,0,rrg,107,0.071294084,0.10960356,0.05013793,57,0.046510603,0.04537844,0,0.4549049,1.3541491,0.3999462
sequential,ov,0.1,0.3,0.15666666666666668,0,rrg,34,0.125559,0.14146847,0.14364795,10,0.06666995,0.047124293,0,0.3822067,1.4415779,0.9122486
sequential,ov,0.1,0.3,0.16,0,rrg,0,0.061756082,0.12471247,0.101330645,58,0.06668532,0.047102537,0,0.23626688,1.518841,0.432165
sequential,ov,0.1,0.3,0.16333333333333333,0,rrg,192,0.09999186,0.14263092,0.14934087,26,0.06667479,0.047117427,0,1.0927036,1.3959651,0.22135258
sequential,ov,0.1,0.3,0.16666666666666666,0,rrg,276,0.09999186,0.121656224,0.07220951,27,0.2616667,0.22864275,0,2.2986588,1.4557437,1.5510868
sequential,ov,0.1,0.3,0.17,0,rrg,179,0.09999187,0.10980072,0.04865635,14,0.20756423,0.1640386,0,1.6079417,1.4613062,1.0802863
sequential,ov,0.1,0.3,0.17333333333333334,0,rrg,94,0.14627977,0.119310446,0.09713037,4,0.10576681,0.008167016,0,0.4206574,1.4459571,2.2769957
sequential,ov,0.1,0.3,0.17666666666666667,0,rrg,51,0.09999183,0.12001454,0.06059761,53,0.09443899,0.007852927,0,2.2214499,1.5465652,2.3011854
sequential,ov,0.1,0.3,0.18,0,rrg,243,0.09999187,0.13543229,0.11091536,17,0.06789443,0.045392614,0,2.1542106,1.5029281,1.241865
sequential,ov,0.1,0.3,0.18333333333333332,0,rrg,12,0.09999185,0.12827428,0.11275478,43,0.09999186,9.618658e-09,0,0.3295427,1.534036,2.0027416
sequential,ov,0.1,0.3,0.18666666666666668,0,rrg,93,0.09999181,0.11745473,0.07421842,50,0.09999183,1.9712383e-08,0,2.3116238,1.449178,1.9984741
sequential,ov,0.1,0.3,0.19,0,rrg,256,0.09999186,0.10415605,0.027812464,21,0.09999188,1.2904784e-08,1,2.2521768,1.3780288,1.0584291
sequential,ov,0.1,0.3,0.19333333333333333,0,rrg,246,0.09999186,0.11979777,0.060734633,23,0.0999918,5.2507655e-08,0,1.5169265,1.4460351,1.0566103
sequential,ov,0.1,0.3,0.19666666666666666,0,rrg,141,0.15513195,0.12062572,0.07424979,6,0.10071114,0.0824716,0,1.8287042,1.5078002,1.3415623
sequential,ov,0.1,0.3,0.2,0,rrg,22,0.35366312,0.14543624,0.11951331,5,0.1600368,0.08491637,1,0.6568471,1.4994575,1.6889797
sequential,ov,0.1,0.3,0.20333333333333334,0,rrg,205,0.09999186,0.11090543,0.061102264,22,0.042881843,0.042033795,0,2.214928,1.6001725,1.4075502
