method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean
sequential,mov,0.1,0.3,0.6666666666666666,2,rrg,0,0.9976284,0.9976284,0.0,1,0.020781502,0.029242335,1,0.30988204,0.3098820447921753
sequential,mov,0.1,0.3,0.8333333333333334,2,rrg,3,0.06372522,0.06372522,0.0,1,0.34716687,0.46160248,1,0.41941518,0.4194151759147644
sequential,c_mov,0.1,0.3,0.0,2,rrg,4,0.09998372,0.09998372,0.0,1,0.0999837,2.5809568e-08,0,0.5297205,0.5297204852104187
sequential,c_mov,0.1,0.3,0.16666666666666666,2,rrg,1,0.23452954,0.23452954,0.0,1,0.3297673,0.16252843,0,1.0839461,1.0839461088180542
sequential,c_mov,0.1,0.3,0.3333333333333333,2,rrg,3,0.09999185,0.09999185,0.0,1,0.4114189,0.41628268,1,0.9729406,0.9729406237602234
sequential,c_mov,0.1,0.3,0.5,2,rrg,0,0.9995773,0.9995773,0.0,1,0.33305356,0.47096917,1,0.5115083,0.5115082859992981
sequential,c_mov,0.1,0.3,0.6666666666666666,2,rrg,2,0.12898582,0.12898582,0.0,1,0.33219334,0.46967852,0,0.31987435,0.3198743462562561
sequential,c_mov,0.1,0.3,0.8333333333333334,2,rrg,5,0.09993491,0.09993491,0.0,1,0.3322581,0.46963274,0,0.25958687,0.2595868706703186
sequential,ov,0.2,0.3,0.0,2,rrg,3,0.19977209,0.19977209,0.0,1,0.1997721,3.9424766e-08,0,0.77319753,0.7731975317001343
sequential,ov,0.2,0.3,0.16666666666666666,2,rrg,2,0.19988602,0.19988602,0.0,1,0.4649755,0.37489316,0,1.3409679,1.3409678936004639
sequential,ov,0.2,0.3,0.3333333333333333,2,rrg,5,0.19988608,0.19988608,0.0,1,0.13604277,0.09624631,0,0.48101258,0.48101258277893066
sequential,ov,0.2,0.3,0.5,2,rrg,0,0.99726486,0.99726486,0.0,1,0.036156062,0.051097564,1,0.449268,0.44926801323890686
